 u 26 - p 0.26666666666666666  ::    4.0  /  15  ::::  935 5169 3156 5611
 u 27 - p 1.5333333333333334  ::    23.0  /  15  ::::  704 713 1665 2282 2291 2596 2691 3054 3322 3328 4542 5159 5313 5467 6211 6308 6504 6877 7760 7861 7906 7930 7955
 u 28 - p 0.0  ::    0.0  /  15  :::: 
 u 29 - p 0.06666666666666667  ::    1.0  /  15  ::::  2601
 u 30 - p 1.9333333333333333  ::    29.0  /  15  ::::  17 23 78 102 2461 416 2469 511 4619 6743 4817 746 3414 5211 7326 3415 3416 3417 3422 3425 3431 5526 3523 5584 7642 3638 3783 1941 1949
 u 31 - p 0.9333333333333333  ::    14.0  /  15  ::::  4141 6204 6721 767 2815 3331 5455 3836 7970 3962 1942 3998 6052 4026
 u 32 - p 0.9333333333333333  ::    14.0  /  15  ::::  6164 6457 4469 4632 964 965 1072 7367 3313 7545 3637 7872 7922 6005
 u 33 - p 1.6  ::    24.0  /  15  ::::  229 502 4649 1078 1080 1081 3190 1281 5382 1291 1292 1313 5475 5476 3441 5489 5496 5498 5506 5507 5509 1564 1673 1685
 u 34 - p 0.5333333333333333  ::    8.0  /  15  ::::  239 4468 4531 2792 2908 3150 7545 5843
 u 35 - p 2.3333333333333335  ::    35.0  /  15  ::::  3 5 63 254 772 1303 1520 1521 1522 1545 1554 1553 1562 1573 1585 1588 1602 1607 1609 1611 1612 1643 1650 1658 1662 1665 1666 1667 1670 1674 1684 1689 1692 1696 1704
 u 36 - p 2.1333333333333333  ::    32.0  /  15  ::::  1 5 11 15 16 26 28 43 65 81 82 158 213 226 365 367 400 453 713 926 1500 1850 1852 1854 1860 1870 1893 2284 2285 2723 4291 4466
 u 37 - p 1.3333333333333333  ::    20.0  /  15  ::::  4306 250 4553 4596 501 577 619 4944 4961 7079 7080 5164 3171 3278 5467 1585 7801 3868 5944 1886
 u 38 - p 0.2  ::    3.0  /  15  ::::  6731 3465 3840
 u 39 - p 0.7333333333333333  ::    11.0  /  15  ::::  2074 107 6481 6905 6912 5616 5618 5622 5630 5632 8068
 u 40 - p 0.0  ::    0.0  /  15  :::: 
 u 41 - p 0.13333333333333333  ::    2.0  /  15  ::::  5193 4351
 u 42 - p 0.26666666666666666  ::    4.0  /  15  ::::  95 6262 4799 4914
 u 43 - p 1.1333333333333333  ::    17.0  /  15  ::::  27 275 485 1194 1665 2390 3358 4160 4246 5088 5467 5834 6861 7140 7851 7853 7860
 u 44 - p 0.4666666666666667  ::    7.0  /  15  ::::  4350 4693 5156 5681 5707 5744 1687
 u 45 - p 0.06666666666666667  ::    1.0  /  15  ::::  7702
 u 46 - p 0.6666666666666666  ::    10.0  /  15  ::::  4412 6470 6814 4970 5081 5351 1304 5487 5728 4024
 u 47 - p 1.0666666666666667  ::    16.0  /  15  ::::  3 40 4147 254 6505 2628 3125 3212 3338 1568 1586 1600 1640 1662 1666 6138
 u 48 - p 0.06666666666666667  ::    1.0  /  15  ::::  6996
 u 49 - p 0.4  ::    6.0  /  15  ::::  3 40 43 2997 5384 1650
 u 50 - p 1.0666666666666667  ::    16.0  /  15  ::::  14 99 704 3569 3648 3797 3908 3981 4977 5070 5126 5379 5617 5619 5622 5630
 u 51 - p 1.4  ::    21.0  /  15  ::::  6254 2234 4283 4282 249 4399 525 4678 4680 2789 885 998 4682 5190 3178 3320 3435 5847 5850 3848 8020
 u 52 - p 1.1333333333333333  ::    17.0  /  15  ::::  50 186 4295 4503 4751 4798 708 1001 1005 1010 1191 1221 7579 5720 1652 1695 4048
 u 53 - p 1.0  ::    15.0  /  15  ::::  68 189 2389 6535 6641 4684 894 923 5211 3175 5249 3252 3765 3851 3981
 u 54 - p 0.13333333333333333  ::    2.0  /  15  ::::  36 2012
 u 55 - p 2.2666666666666666  ::    34.0  /  15  ::::  2111 2251 4602 562 595 4695 605 607 611 617 622 623 624 2684 646 651 652 682 734 747 2822 6935 2847 6952 6958 5106 3100 1053 1102 5205 5207 3357 5594 3755
 u 56 - p 1.0666666666666667  ::    16.0  /  15  ::::  5 28 2107 6326 2325 4426 6502 485 4874 938 1200 1679 1734 4418 1940 4012
 u 57 - p 1.1333333333333333  ::    17.0  /  15  ::::  2 6425 4601 6669 6692 623 6952 4936 4938 937 7149 1066 7331 7493 7644 5726 7790
 u 58 - p 0.26666666666666666  ::    4.0  /  15  ::::  685 767 5295 7990
 u 59 - p 1.4  ::    21.0  /  15  ::::  2089 2128 6456 6579 455 490 520 2722 5031 7104 999 1028 7746 7747 5814 3839 1855 1892 8065 1990 6110
 u 60 - p 0.2  ::    3.0  /  15  ::::  19 2461 3981
 u 61 - p 0.2  ::    3.0  /  15  ::::  6829 5438 5539
 u 62 - p 0.0  ::    0.0  /  15  :::: 
 u 63 - p 0.0  ::    0.0  /  15  :::: 
 u 64 - p 0.6  ::    9.0  /  15  ::::  6737 2657 4839 7125 5105 7488 5487 7664 3634
 u 65 - p 0.2  ::    3.0  /  15  ::::  1551 7759 2015
 u 66 - p 0.6666666666666666  ::    10.0  /  15  ::::  6179 6293 4384 483 4614 1337 5453 5588 1817 6110
 u 67 - p 0.2  ::    3.0  /  15  ::::  3591 1301 2528
 u 68 - p 0.6666666666666666  ::    10.0  /  15  ::::  421 2846 6961 5057 5457 1551 1571 1623 5842 3873
 u 69 - p 0.6  ::    9.0  /  15  ::::  2069 2381 2497 2572 6785 6905 5061 5062 7403
 u 70 - p 1.4666666666666666  ::    22.0  /  15  ::::  3 6149 4169 4306 2319 288 445 494 501 4665 577 6922 4920 4944 4960 7113 3171 7358 5614 1639 5944 6104
 u 71 - p 0.0  ::    0.0  /  15  :::: 
 u 72 - p 1.1333333333333333  ::    17.0  /  15  ::::  3 82 4548 4741 703 777 930 1005 1202 7593 7596 5611 1544 1562 1577 1640 2023
 u 73 - p 1.6666666666666667  ::    25.0  /  15  ::::  6152 6209 6311 2296 257 2526 4722 4851 2825 6996 7062 3165 7284 1270 1295 1290 1310 1311 3361 1501 7683 7778 1748 7905 5955
 u 74 - p 1.6666666666666667  ::    25.0  /  15  ::::  2304 4376 1310 6661 2650 4722 6902 4980 7060 7062 7075 5032 3018 7284 1270 1295 1335 5470 5474 5492 1495 1501 7674 7684 7931
 u 75 - p 2.2  ::    33.0  /  15  ::::  2134 4306 1310 4649 5468 2944 5502 1080 1114 5302 3306 1266 1282 1292 1293 1294 1291 1307 1318 1321 5469 5480 5489 5490 5492 5497 5506 5504 5619 5624 5627 5628 1685
 u 76 - p 0.13333333333333333  ::    2.0  /  15  ::::  4816 7441
 u 77 - p 1.4666666666666666  ::    22.0  /  15  ::::  1 47 128 6373 6551 6601 2628 2776 922 3022 1001 1018 5169 3209 5384 3370 3501 5610 1573 1579 1795 3854
 u 78 - p 1.6  ::    24.0  /  15  ::::  432 447 1788 1993 2454 2480 2711 2714 2737 2745 2749 2750 2923 3129 3185 3500 3632 3832 3833 3879 3886 5048 5085 6635
 u 79 - p 1.8666666666666667  ::    28.0  /  15  ::::  4122 4235 6405 563 4695 607 622 627 626 639 643 646 6856 727 747 758 812 7051 5016 3005 7291 1409 3459 7635 5718 7790 3753 3754
 u 80 - p 1.8  ::    27.0  /  15  ::::  68 125 6404 2375 2382 4484 4488 444 4828 791 792 2918 3007 3014 3248 3313 1277 1323 1397 7660 5636 3764 7922 7962 3885 3951 3960
 u 81 - p 1.7333333333333334  ::    26.0  /  15  ::::  3 14 27 118 28 6386 2323 6472 4596 772 4960 994 3209 3212 1545 1575 1586 1580 1606 1612 1629 1636 1641 1682 7882 4067
 u 82 - p 1.0  ::    15.0  /  15  ::::  29 2210 2222 2227 2236 2581 6766 2777 921 2237 1212 1262 5394 7540 8064
 u 83 - p 0.8666666666666667  ::    13.0  /  15  ::::  2300 4373 445 4644 2708 6967 4944 4960 4962 4980 1584 7793 5899
 u 84 - p 1.3333333333333333  ::    20.0  /  15  ::::  2110 2111 6315 242 6489 6663 2803 7119 3056 7230 3221 5301 1213 5423 7487 8001 1862 4020 4050 2040
 u 85 - p 1.6666666666666667  ::    25.0  /  15  ::::  45 1328 1788 2018 2711 2736 3633 3654 4591 4771 5058 5070 5090 5219 5285 5689 5742 5810 5868 6194 6277 6347 6442 6632 6937
